userID,rating,food_rating,service_rating
U1077,2,2,2
U1077,2,2,1
U1077,2,2,2
U1077,1,2,2
U1068,1,1,2
U1068,0,0,0
U1068,1,1,1
U1068,0,0,0
U1068,1,1,1
U1067,2,2,2
U1067,1,1,1
U1067,1,2,2
U1067,1,0,1
U1067,0,0,0
U1067,1,0,0
U1103,1,2,1
U1103,0,0,2
U1103,1,2,0
U1103,2,2,2
U1103,1,2,2
U1103,1,2,0
U1103,1,0,2
U1103,2,2,2
U1107,2,2,1
U1107,2,2,2
U1107,2,2,2
U1044,2,2,2
U1044,1,2,1
U1070,2,2,1
U1070,1,1,1
U1070,1,1,0
U1031,0,0,0
U1031,0,0,0
U1031,0,0,0
U1082,1,1,1
U1023,0,0,0
U1023,0,0,0
U1082,0,0,0
U1082,0,0,0
U1082,0,0,0
U1082,0,0,0
U1082,0,0,0
U1082,0,0,0
U1060,2,2,2
U1060,2,2,2
U1060,2,1,2
U1060,1,2,1
U1015,0,0,0
U1123,1,2,1
U1123,1,2,1
U1123,2,2,2
U1123,1,2,0
U1123,1,2,1
U1123,1,1,1
U1123,1,2,1
U1123,1,1,1
U1021,2,2,1
U1026,2,2,2
U1021,2,2,2
U1021,2,2,1
U1044,0,0,0
U1083,2,2,2
U1083,1,1,1
U1083,2,2,1
U1108,2,2,2
U1108,1,2,1
U1108,2,2,1
U1108,1,1,1
U1108,1,2,1
U1108,2,1,2
U1108,1,1,0
U1108,2,2,2
U1108,1,2,1
U1108,1,1,1
U1012,1,1,2
U1012,2,2,2
U1012,2,2,2
U1093,2,2,2
U1093,2,2,2
U1093,2,2,2
U1093,2,2,1
U1093,2,2,2
U1030,2,2,2
U1093,2,2,1
U1030,2,2,2
U1012,2,2,2
U1012,2,2,2
U1030,1,0,1
U1093,2,2,2
U1030,0,0,0
U1093,1,1,0
U1030,0,0,0
U1030,0,0,0
U1030,0,0,0
U1030,0,0,0
U1066,1,2,2
U1066,1,1,1
U1127,2,2,2
U1127,2,1,1
U1127,2,0,2
U1127,2,2,2
U1017,1,1,1
U1066,2,1,0
U1017,2,1,1
U1017,0,0,1
U1066,1,2,1
U1100,2,1,0
U1100,2,1,1
U1066,1,2,2
U1100,2,1,1
U1100,2,2,2
U1100,2,2,2
U1100,2,2,1
U1133,1,1,1
U1133,2,2,2
U1133,1,1,0
U1133,0,0,0
U1133,2,2,2
U1133,2,2,2
U1133,1,1,1
U1133,1,2,1
U1133,1,2,0
U1118,0,0,0
U1072,1,2,2
U1072,2,1,2
U1072,0,1,0
U1026,1,1,1
U1026,0,2,0
U1026,0,0,0
U1026,2,2,2
U1023,0,0,0
U1023,2,2,2
U1080,1,1,1
U1080,2,2,2
U1080,1,1,1
U1080,2,2,2
U1063,2,2,2
U1063,2,1,1
U1063,1,0,1
U1063,1,2,1
U1063,1,2,1
